"scenarioId","scenarioStatus","metric","actualTB","expectedTB","deltaTB","deltaPct","metricStatus"
"im-all-tiers-immutability","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"im-all-tiers-immutability","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-gfs-wmy-move-archive","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"ix-gfs-wmy-move-archive","PASS","Planned Capacity Tier","2.08","2.08","0","0","PASS"
"ix-gfs-wmy-move-archive","PASS","Planned Archive Tier","1.76","1.76","0","0","PASS"
"ix-gfs-wmy-move-archive","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-gfs-wmy-move-archive","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-gfs-wmy-move-archive","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-gfs-wmy-copy-archive","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"ix-gfs-wmy-copy-archive","PASS","Planned Capacity Tier","1.92","1.93","0","0","PASS"
"ix-gfs-wmy-copy-archive","PASS","Planned Archive Tier","1.75","1.75","0","0","PASS"
"ix-gfs-wmy-copy-archive","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-gfs-wmy-copy-archive","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-gfs-wmy-copy-archive","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-gfs-wmy-copy-archive-immutability","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"ix-gfs-wmy-copy-archive-immutability","PASS","Planned Capacity Tier","1.92","1.93","0","0","PASS"
"ix-gfs-wmy-copy-archive-immutability","PASS","Planned Archive Tier","1.75","1.75","0","0","PASS"
"ix-gfs-wmy-copy-archive-immutability","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-gfs-wmy-copy-archive-immutability","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-gfs-wmy-copy-archive-immutability","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-gfs-monthly-move-immutability","PASS","Planned Performance Tier","1.15","1.15","0","0","PASS"
"ix-gfs-monthly-move-immutability","PASS","Planned Capacity Tier","1.66","1.66","0","0","PASS"
"ix-gfs-monthly-move-immutability","PASS","Planned Archive Tier","0","0","0","0","PASS"
"ix-gfs-monthly-move-immutability","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-gfs-monthly-move-immutability","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-gfs-monthly-move-immutability","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-short-retention-long-gfs","PASS","Planned Capacity","3.15","3.15","0","0","PASS"
"ix-short-retention-long-gfs","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-short-retention-long-gfs","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-short-retention-long-gfs","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-high-gen-period","PASS","Planned Performance Tier","1.15","1.15","0","0","PASS"
"ix-high-gen-period","PASS","Planned Capacity Tier","2.18","2.18","0","0","PASS"
"ix-high-gen-period","PASS","Planned Archive Tier","0","0","0","0","PASS"
"ix-high-gen-period","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-high-gen-period","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-high-gen-period","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-copy-move-combo","PASS","Planned Performance Tier","1.15","1.15","0","0","PASS"
"ix-copy-move-combo","PASS","Planned Capacity Tier","1.27","1.27","0","0","PASS"
"ix-copy-move-combo","PASS","Planned Archive Tier","0.43","0.43","0","0","PASS"
"ix-copy-move-combo","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-copy-move-combo","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-copy-move-combo","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-no-gfs-long-archive","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
